"label","id","mRNA","methy"
"ACTN1","node_id_0",11.06980037689209,-0.006300000008195639
"ATP2A1","node_id_1",3.092099905014038,-0.48510000109672546
"MAN1B1","node_id_2",11.74209976196289,-0.4896000027656555
"NPHP4","node_id_3",7.813399791717529,0.376800000667572
"MAEL","node_id_4",2.589400053024292,0.3686000108718872
"PROX1","node_id_5",1.8111000061035156,0.43939998745918274
"NR5A2","node_id_6",6.946300029754639,0.37619999051094055
"ETV6","node_id_7",9.165800094604492,0.2231999933719635
"COL6A3","node_id_8",11.14799976348877,0.428600013256073
"SLMAP","node_id_9",9.071399688720703,-0.26600000262260437
"ITGAD","node_id_10",2.0483999252319336,0.3808000087738037
"SMARCC2","node_id_11",11.007800102233887,-0.489300012588501
"DNAH17","node_id_12",5.23829984664917,0.3582000136375427
"RFX5","node_id_13",9.31820011138916,0.3244999945163727
"CASZ1","node_id_14",7.374800205230713,-0.1891999989748001
"MEOX2","node_id_15",3.29010009765625,-0.4478999972343445
"ZFP36","node_id_16",12.278599739074707,-0.4814000129699707
"SLC2A9","node_id_17",9.172100067138672,-0.2802000045776367
"LOXL4","node_id_18",7.045499801635742,0.3605000078678131
"CSMD2","node_id_19",3.194499969482422,-0.47769999504089355
"EHMT1","node_id_20",9.616800308227539,0.43230000138282776
"MTMR7","node_id_21",4.942599773406982,0.3095000088214874
"ANKRD11","node_id_22",11.164600372314453,-0.4702000021934509
"TDRD6","node_id_23",4.113500118255615,0.4810999929904938
"WWP2","node_id_24",10.329700469970703,-0.19470000267028809
"SERPINB12","node_id_25",0.0,0.002199999988079071
"SRCAP","node_id_26",11.015700340270996,0.20100000500679016
"GPHN","node_id_27",7.704800128936768,-0.4207000136375427
"OTOF","node_id_28",0.0,0.33640000224113464
"NUP210L","node_id_29",0.0,0.2694999873638153
"MTUS2","node_id_30",3.092099905014038,-0.15230000019073486
"ZNF362","node_id_31",9.463700294494629,0.2759000062942505
"PTPRF","node_id_32",11.977899551391602,0.2793000042438507
"PACS2","node_id_33",10.639300346374512,-0.11879999935626984
"CACNA1A","node_id_34",4.262400150299072,0.0038999998942017555
"SLC6A5","node_id_35",0.0,-0.06210000067949295
"DSTYK","node_id_36",9.244000434875488,-0.31709998846054077
"APAF1","node_id_37",8.24489974975586,-0.48080000281333923
"GFPT2","node_id_38",6.1031999588012695,0.37619999051094055
"LRRC4B","node_id_39",6.894000053405762,-0.4867999851703644
"AEBP1","node_id_40",12.681699752807617,0.3100999891757965
"PELI2","node_id_41",7.219600200653076,0.07890000194311142
"DDX18","node_id_42",10.758000373840332,-0.4740999937057495
"CDH8","node_id_43",1.1728999614715576,-0.4875999987125397
"COL4A1","node_id_44",14.317099571228027,0.2906000018119812
"RBM47","node_id_45",10.593199729919434,0.09690000116825104
"NLRC3","node_id_46",7.6107001304626465,0.11469999700784683
"TINAG","node_id_47",10.510000228881836,-0.10010000318288803
"ARPC2","node_id_48",11.907099723815918,0.2777000069618225
"CABYR","node_id_49",4.262400150299072,-0.40220001339912415
"FBF1","node_id_50",5.5482001304626465,-0.492000013589859
"PRKCH","node_id_51",10.086799621582031,0.18729999661445618
"ST6GALNAC3","node_id_52",8.370499610900879,0.13609999418258667
"TRIM56","node_id_53",7.864799976348877,0.3569999933242798
"CCDC62","node_id_54",0.7024999856948853,-0.48489999771118164
"DYSF","node_id_55",11.8927001953125,0.14659999310970306
"ASAP2","node_id_56",10.56719970703125,-0.3774000108242035
"CACHD1","node_id_57",7.324900150299072,-0.2529999911785126
"ESPN","node_id_58",9.394100189208984,-0.19460000097751617
"KIF3A","node_id_59",8.51360034942627,-0.48570001125335693
"DPH2","node_id_60",8.873299598693848,-0.46880000829696655
"PARP10","node_id_61",11.664199829101562,0.057500001043081284
"STK38","node_id_62",10.082599639892578,-0.48489999771118164
"ARHGAP15","node_id_63",7.485000133514404,0.19769999384880066
"DNAH11","node_id_64",9.14050006866455,-0.30379998683929443
"KIF26A","node_id_65",9.693099975585938,-0.4481000006198883
"ZFHX4","node_id_66",4.060200214385986,-0.27639999985694885
"KIDINS220","node_id_67",10.923199653625488,-0.44589999318122864
"CNTNAP2","node_id_68",3.6196000576019287,-0.38190001249313354
"THRA","node_id_69",10.644599914550781,-0.326200008392334
"DPP6","node_id_70",4.929900169372559,-0.4763999879360199
"PTK2B","node_id_71",9.122599601745605,-0.11069999635219574
"ESCO1","node_id_72",8.547800064086914,-0.41200000047683716
"CEP68","node_id_73",9.785200119018555,-0.4681999981403351
"CSMD1","node_id_74",5.8125,0.43059998750686646
"PABPC3","node_id_75",6.90910005569458,0.4334999918937683
"LTBP4","node_id_76",10.832300186157227,-0.008899999782443047
"SPTBN4","node_id_77",5.248300075531006,-0.24150000512599945
"PER3","node_id_78",8.867500305175781,-0.2003999948501587
"RNF111","node_id_79",8.888699531555176,-0.3912999927997589
"IGF2R","node_id_80",11.624300003051758,0.4867999851703644
"MAPK4","node_id_81",4.634399890899658,-0.3921000063419342
"NRCAM","node_id_82",8.337300300598145,0.2581999897956848
"TULP1","node_id_83",0.7024999856948853,0.337799996137619
"PLXNC1","node_id_84",5.623600006103516,-0.2718999981880188
"RRP1","node_id_85",9.598199844360352,-0.489300012588501
"PPFIBP1","node_id_86",11.153599739074707,-0.12559999525547028
"MYBL1","node_id_87",6.264999866485596,-0.4717999994754791
"UBR1","node_id_88",8.853899955749512,-0.12290000170469284
"GBF1","node_id_89",10.41569995880127,-0.1923000067472458
"ZNF613","node_id_90",6.946300029754639,-0.4684000015258789
