"label","id","mRNA","methy"
"PRKCH","node_id_51",9.350199699401855,-0.4153999984264374
"ST6GALNAC3","node_id_52",5.246799945831299,0.397599995136261
"TRIM56","node_id_53",7.611000061035156,0.47530001401901245
"CCDC62","node_id_54",2.2802999019622803,-0.4603999853134155
"DYSF","node_id_55",8.191200256347656,0.2759999930858612
"ASAP2","node_id_56",9.923199653625488,-0.45210000872612
"CACHD1","node_id_57",8.187999725341797,0.45350000262260437
"ESPN","node_id_58",5.493299961090088,-0.08389999717473984
"KIF3A","node_id_59",9.190299987792969,-0.48240000009536743
"DPH2","node_id_60",8.823399543762207,-0.4661000072956085
"PARP10","node_id_61",9.136899948120117,0.3472000062465668
"STK38","node_id_62",10.811800003051758,0.43700000643730164
"ARHGAP15","node_id_63",6.747000217437744,0.3675000071525574
"DNAH11","node_id_64",0.4090999960899353,-0.4438000023365021
"KIF26A","node_id_65",5.712600231170654,-0.41659998893737793
"ZFHX4","node_id_66",9.776000022888184,0.02810000069439411
"KIDINS220","node_id_67",11.313400268554688,-0.4767000079154968
"CNTNAP2","node_id_68",12.545299530029297,-0.3921000063419342
"THRA","node_id_69",9.28339958190918,0.027699999511241913
"DPP6","node_id_70",0.9742000102996826,0.20679999887943268
"PTK2B","node_id_71",8.4128999710083,0.10830000042915344
"ESCO1","node_id_72",9.782899856567383,-0.446399986743927
"CEP68","node_id_73",9.485799789428711,0.3564000129699707
"CSMD1","node_id_74",5.533899784088135,0.04340000078082085
"PABPC3","node_id_75",7.574999809265137,-0.10559999942779541
"LTBP4","node_id_76",9.571200370788574,-0.44699999690055847
"SPTBN4","node_id_77",6.276400089263916,-0.35569998621940613
"PER3","node_id_78",10.5201997756958,-0.257999986410141
"RNF111","node_id_79",9.755800247192383,-0.4691999852657318
"IGF2R","node_id_80",10.838600158691406,0.41449999809265137
"MAPK4","node_id_81",2.8933000564575195,-0.4634000062942505
"NRCAM","node_id_82",8.271400451660156,-0.44609999656677246
"TULP1","node_id_83",0.7163000106811523,-0.16089999675750732
"PLXNC1","node_id_84",9.592900276184082,0.4142000079154968
"RRP1","node_id_85",8.11460018157959,0.3752000033855438
"PPFIBP1","node_id_86",11.08530044555664,0.17229999601840973
"MYBL1","node_id_87",9.051199913024902,-0.4763999879360199
"UBR1","node_id_88",10.279899597167969,-0.4797999858856201
"GBF1","node_id_89",11.42590045928955,-0.11309999972581863
"ZNF613","node_id_90",7.778800010681152,-0.46799999475479126
"CAMSAP1","node_id_91",9.37969970703125,0.4221999943256378
"PLA2G15","node_id_92",9.009499549865723,0.3140000104904175
"DOCK1","node_id_93",11.62440013885498,0.03830000013113022
"GOLGA3","node_id_94",11.13599967956543,0.4447000026702881
"AKAP8L","node_id_95",9.395000457763672,0.39579999446868896
"ACSL5","node_id_96",7.931000232696533,-0.14350000023841858
"PDGFRA","node_id_97",11.90820026397705,-0.16099999845027924
"CRHR1","node_id_98",2.541599988937378,0.14030000567436218
"HTR1D","node_id_99",3.980799913406372,0.013700000010430813
"RNF220","node_id_100",9.84529972076416,0.3147999942302704
"LRPPRC","node_id_101",12.037599563598633,-0.48809999227523804
"NBL1","node_id_102",11.900300025939941,0.1826999932527542
"SERINC5","node_id_103",7.049699783325195,-0.4812999963760376
"ERCC6","node_id_104",9.128299713134766,-0.4855000078678131
"ZEB2","node_id_105",10.037099838256836,0.2703999876976013
"SLC20A2","node_id_106",9.781800270080566,0.017999999225139618
"ABR","node_id_107",10.157299995422363,-0.47850000858306885
"DIP2C","node_id_108",10.609299659729004,0.0674000009894371
"SYNJ1","node_id_109",8.789199829101562,-0.4810999929904938
"DNAH10","node_id_110",4.173099994659424,-0.031199999153614044
"ALDOA","node_id_111",14.414600372314453,0.16509999334812164
"ANK3","node_id_112",11.454000473022461,-0.0010000000474974513
"ZNF710","node_id_113",7.929100036621094,0.40709999203681946
"NCAPD2","node_id_114",10.253899574279785,-0.4611999988555908
"UBTF","node_id_115",11.76449966430664,-0.4489000141620636
"EPB41L3","node_id_116",9.274299621582031,-0.436599999666214
"DCC","node_id_117",0.40220001339912415,-0.08630000054836273
"CD2","node_id_118",7.288000106811523,0.42980000376701355
"TCF12","node_id_119",11.358499526977539,-0.4878999888896942
"THBS1","node_id_120",14.50409984588623,-0.061000000685453415
"ZBTB20","node_id_121",4.473700046539307,0.23589999973773956
"GABBR1","node_id_122",8.806900024414062,-0.46540001034736633
"SORBS2","node_id_123",10.030900001525879,-0.16820000112056732
"MTSS1","node_id_124",10.058600425720215,0.2881999909877777
"NCOA7","node_id_125",9.088299751281738,-0.13079999387264252
"ZNF808","node_id_126",8.521599769592285,-0.36149999499320984
"GABRA5","node_id_127",1.382699966430664,-0.3407999873161316
"ARHGEF4","node_id_128",5.871500015258789,0.423799991607666
"EHMT2","node_id_129",10.028200149536133,0.4372999966144562
"KRT5","node_id_130",10.244000434875488,0.4162999987602234
"NOL10","node_id_131",9.513899803161621,-0.4325000047683716
"HIP1","node_id_132",10.948800086975098,-0.3564999997615814
"DGKI","node_id_133",4.840400218963623,0.009800000116229057
"PROM2","node_id_134",10.042400360107422,0.3621000051498413
"CUX2","node_id_135",8.358799934387207,-0.45649999380111694
"KIF13A","node_id_136",10.921299934387207,-0.25679999589920044
"SLC25A2","node_id_137",1.1928000450134277,0.2614000141620636
"ABCC1","node_id_138",10.451700210571289,-0.3456000089645386
"ZBTB9","node_id_139",8.882599830627441,-0.47859999537467957
"ARHGEF10","node_id_140",9.738499641418457,0.3208000063896179
"PNPLA6","node_id_141",9.048600196838379,0.41339999437332153
"PRPF38B","node_id_142",10.552399635314941,-0.4408000111579895
"ATG4D","node_id_143",7.485000133514404,0.44020000100135803
"BRCA2","node_id_144",7.267099857330322,-0.48910000920295715
"TSPYL5","node_id_145",9.26830005645752,0.093299999833107
"AP2B1","node_id_146",13.768799781799316,-0.4772000014781952
"LONP1","node_id_147",10.462900161743164,0.4205999970436096
"NELL2","node_id_148",11.031999588012695,-0.3529999852180481
"USP4","node_id_149",10.472399711608887,-0.482699990272522
"SNX7","node_id_150",9.276599884033203,-0.34040001034736633
"UHRF1","node_id_151",7.85290002822876,0.10589999705553055
"CROT","node_id_152",10.362500190734863,0.00800000037997961
"SLC35B4","node_id_153",8.701700210571289,0.2761000096797943
"TSNARE1","node_id_154",6.424099922180176,0.42309999465942383
"ATP11A","node_id_155",8.746700286865234,-0.35409998893737793
"UGP2","node_id_156",11.046099662780762,0.4284000098705292
"FDPS","node_id_157",10.373900413513184,-0.48339998722076416
"ACTA1","node_id_158",4.093800067901611,-0.28299999237060547
"PTPRN2","node_id_159",6.221499919891357,0.03909999877214432
"PUM1","node_id_160",11.546500205993652,-0.47699999809265137
"ADCY9","node_id_161",10.13070011138916,0.04410000145435333
"KIF26B","node_id_162",9.798100471496582,-0.47749999165534973
"GRIN2A","node_id_163",6.1579999923706055,-0.4361000061035156
"LZTS2","node_id_164",9.7524995803833,0.4065000116825104
"RBM45","node_id_165",7.84689998626709,0.1128000020980835
"MAZ","node_id_166",11.303199768066406,-0.47850000858306885
"RFX6","node_id_167",0.0,-0.3752000033855438
"PWP2","node_id_168",8.99779987335205,0.45320001244544983
"SETBP1","node_id_169",9.235600471496582,0.30390000343322754
"PIK3CB","node_id_170",10.3016996383667,0.44179999828338623
"PXDN","node_id_171",12.942399978637695,0.11180000007152557
"FBXO31","node_id_172",8.493599891662598,0.3653999865055084
"EXOC4","node_id_173",11.197500228881836,-0.2957000136375427
"CREBBP","node_id_174",11.419300079345703,-0.4738999903202057
"ABCA3","node_id_175",10.91189956665039,-0.3441999852657318
"TAX1BP1","node_id_176",11.98740005493164,-0.48080000281333923
"SLC25A12","node_id_177",9.577799797058105,0.2653999924659729
"SMOC2","node_id_178",11.300100326538086,-0.37599998712539673
"MICAL3","node_id_179",8.711700439453125,0.21639999747276306
"TPO","node_id_180",2.954400062561035,0.147599995136261
"ARHGEF11","node_id_181",10.248200416564941,-0.2295999974012375
"PTPN22","node_id_182",7.267099857330322,0.25540000200271606
"SYNE1","node_id_183",10.765899658203125,0.17419999837875366
"ANKH","node_id_184",11.339300155639648,-0.06809999793767929
"PLEKHH3","node_id_185",8.978599548339844,-0.32589998841285706
"PEX1","node_id_186",9.626199722290039,-0.48429998755455017
"COG1","node_id_187",10.618000030517578,-0.15410000085830688
"KCNAB2","node_id_188",6.9369001388549805,0.19830000400543213
"COL12A1","node_id_189",15.705300331115723,-0.20999999344348907
"EPHA7","node_id_190",3.0130999088287354,-0.42640000581741333
"NSMAF","node_id_191",9.504400253295898,-0.48159998655319214
"RUNX1T1","node_id_192",6.963200092315674,0.4235999882221222
"RBL1","node_id_193",7.164100170135498,0.4345000088214874
"ARHGAP30","node_id_194",8.184800148010254,0.20880000293254852
"PHF19","node_id_195",8.710599899291992,0.3050999939441681
"PPP1R12B","node_id_196",10.668700218200684,0.27950000762939453
"PLOD3","node_id_197",9.610300064086914,0.41530001163482666
"COL20A1","node_id_198",0.0,0.2567000091075897
"GPR149","node_id_199",0.0,-0.2784999907016754
"PDE4B","node_id_200",8.582200050354004,0.23569999635219574
"LRP6","node_id_201",10.512299537658691,-0.10270000249147415
"MYO1D","node_id_202",11.91189956665039,0.19589999318122864
"CBX2","node_id_203",5.022600173950195,-0.19140000641345978
"GABRA1","node_id_204",0.0,-0.4138999879360199
"DACH1","node_id_205",9.191100120544434,-0.2506999969482422
"SVIL","node_id_206",10.626999855041504,0.24799999594688416
"CLYBL","node_id_207",6.084700107574463,0.11050000041723251
"PRDM16","node_id_208",3.275099992752075,0.24169999361038208
"CSDE1","node_id_209",13.763899803161621,-0.37630000710487366
"BTNL9","node_id_210",6.227700233459473,0.3986000120639801
"SMURF2","node_id_211",9.46030044555664,-0.07670000195503235
"PRKCA","node_id_212",7.594299793243408,0.37470000982284546
"DNMT3A","node_id_213",9.022100448608398,0.04019999876618385
"MAP2","node_id_214",7.3744001388549805,0.42640000581741333
"JAG1","node_id_215",10.72920036315918,-0.11819999665021896
"CYP2C19","node_id_216",0.0,0.41690000891685486
"FOXP1","node_id_217",11.273099899291992,-0.11949999630451202
"PSMD4","node_id_218",11.027799606323242,-0.4740999937057495
"SCLY","node_id_219",7.202400207519531,0.39800000190734863
"RPS6KA2","node_id_220",9.630900382995605,0.4221000075340271
"DGKH","node_id_221",7.1280999183654785,-0.46560001373291016
"MCF2L","node_id_222",9.199000358581543,0.0934000015258789
"SH3PXD2B","node_id_223",11.237299919128418,0.25429999828338623
"CYP7B1","node_id_224",6.839000225067139,-0.3589000105857849
"RASA3","node_id_225",9.117799758911133,0.2791999876499176
"TTLL3","node_id_226",9.09630012512207,0.4375999867916107
"PTPRE","node_id_227",8.600199699401855,-0.14000000059604645
"CORO7","node_id_228",8.74489974975586,0.3912000060081482
"RERE","node_id_229",11.541799545288086,0.17110000550746918
"GPSM1","node_id_230",6.839000225067139,0.461899995803833
"ARHGAP21","node_id_231",10.917200088500977,0.13729999959468842
"GRM7","node_id_232",1.700600028038025,-0.12110000103712082
"KSR2","node_id_233",6.996200084686279,-0.34950000047683716
"SLCO4C1","node_id_234",3.0694000720977783,-0.44279998540878296
"PCBP2","node_id_235",13.371800422668457,-0.4819999933242798
"COL7A1","node_id_236",8.003299713134766,0.4122999906539917
"TGFBRAP1","node_id_237",8.477999687194824,-0.17489999532699585
"KIAA1549","node_id_238",8.75529956817627,-0.40059998631477356
"TRPC3","node_id_239",3.615000009536743,0.1468999981880188
"RYR2","node_id_240",5.132500171661377,0.1054999977350235
"SLC16A1","node_id_241",9.325799942016602,0.07999999821186066
"P2RX2","node_id_242",0.0,-0.4237000048160553
"CTNNA2","node_id_243",0.40220001339912415,-0.4616999924182892
"PIGQ","node_id_244",9.840800285339355,-0.45649999380111694
"CACNA1I","node_id_245",0.7163000106811523,-0.23720000684261322
"HOOK1","node_id_246",10.655200004577637,-0.40130001306533813
"PRMT8","node_id_247",0.40220001339912415,-0.4410000145435333
"FMNL2","node_id_248",9.364999771118164,0.31209999322891235
"PI16","node_id_249",1.382699966430664,0.3294999897480011
"PFKP","node_id_250",8.769200325012207,-0.4609000086784363
"RNF213","node_id_251",12.9891996383667,-0.1371999979019165
"PES1","node_id_252",9.263799667358398,-0.4699999988079071
"DDX11","node_id_253",9.096799850463867,0.3573000133037567
"AGAP1","node_id_254",8.426400184631348,0.3276999890804291
"GALK2","node_id_255",8.472900390625,-0.48590001463890076
"RB1","node_id_256",10.718799591064453,-0.47679999470710754
"COL1A1","node_id_257",17.885700225830078,0.2985999882221222
"PAX6","node_id_258",5.440800189971924,-0.005200000014156103
"KCNS3","node_id_259",8.893400192260742,-0.039799999445676804
"CENPF","node_id_260",9.678600311279297,-0.390500009059906
"LEO1","node_id_261",10.060700416564941,-0.4787999987602234
"LIMA1","node_id_262",12.258000373840332,0.2842000126838684
"ALX4","node_id_263",1.1928000450134277,0.3587999939918518
"NLGN2","node_id_264",8.800700187683105,0.22040000557899475
"SQSTM1","node_id_265",12.582900047302246,0.3456000089645386
"CDK12","node_id_266",11.21660041809082,-0.4767000079154968
"ITGA2B","node_id_267",2.541599988937378,0.3937999904155731
"PLXNB2","node_id_268",11.56820011138916,0.04639999940991402
"KDM1A","node_id_269",11.023099899291992,0.45320001244544983
"SLC12A7","node_id_270",10.065899848937988,-0.460099995136261
"TPCN1","node_id_271",9.525300025939941,-0.18860000371932983
"PTPN14","node_id_272",7.111400127410889,0.37139999866485596
"PDE3A","node_id_273",6.810400009155273,-0.478300005197525
"PLS1","node_id_274",8.560199737548828,-0.1623000055551529
"FGR","node_id_275",6.843100070953369,0.34540000557899475
"EPPK1","node_id_276",6.007500171661377,0.25540000200271606
"LRIG2","node_id_277",8.149299621582031,-0.47440001368522644
"STXBP5L","node_id_278",2.8933000564575195,-0.40149998664855957
"VANGL2","node_id_279",8.298199653625488,0.0026000000070780516
"CHD3","node_id_280",11.433300018310547,-0.41029998660087585
"HEY2","node_id_281",7.108099937438965,0.07900000363588333
"ZNF407","node_id_282",8.186400413513184,0.20909999310970306
"EPC2","node_id_283",9.678600311279297,-0.4832000136375427
"DBX2","node_id_284",4.093800067901611,0.2727999985218048
"ZNF131","node_id_285",9.600099563598633,-0.4893999993801117
"MTHFD1L","node_id_286",7.981400012969971,0.07180000096559525
"ATP6V1B1","node_id_287",3.920799970626831,0.3310999870300293
"PIK3R1","node_id_288",11.881199836730957,0.3605000078678131
"MYT1L","node_id_289",0.0,0.4514000117778778
"HERC1","node_id_290",10.76990032196045,-0.4754999876022339
"CRIM1","node_id_291",11.334600448608398,0.23759999871253967
"GLI2","node_id_292",7.248899936676025,0.2214999943971634
"CACNA1S","node_id_293",0.40220001339912415,-0.3937999904155731
"CDH10","node_id_294",0.0,-0.3546999990940094
"CLCN3","node_id_295",10.757100105285645,-0.447299987077713
"ARAP3","node_id_296",7.662300109863281,0.15469999611377716
"DNAH12","node_id_297",1.382699966430664,-0.4553000032901764
"ENOX1","node_id_298",6.630199909210205,-0.0689999982714653
"DDX21","node_id_299",10.902000427246094,-0.0940999984741211
"GRM4","node_id_300",6.644100189208984,-0.09560000151395798
"RAB11FIP4","node_id_301",9.143500328063965,0.304500013589859
"TMEM63B","node_id_302",9.976699829101562,0.27730000019073486
"RHOBTB2","node_id_303",9.402400016784668,-0.4075999855995178
"ESR2","node_id_304",2.541599988937378,0.4546999931335449
"MSH5","node_id_305",7.239699840545654,0.40549999475479126
"RAI1","node_id_306",8.994099617004395,0.10480000078678131
"ALK","node_id_307",1.1928000450134277,-0.08590000122785568
"ZFHX3","node_id_308",10.279399871826172,0.15800000727176666
"JARID2","node_id_309",9.45110034942627,0.2110999971628189
"GRM8","node_id_310",3.322200059890747,-0.11890000104904175
"EGFLAM","node_id_311",7.157599925994873,0.2802000045776367
"BSN","node_id_312",4.554900169372559,-0.33090001344680786
"POMP","node_id_313",10.73330020904541,-0.46230000257492065
"UNC93A","node_id_314",0.0,0.13830000162124634
"FLNB","node_id_315",13.23289966583252,-0.13670000433921814
"EXOC3","node_id_316",9.709400177001953,0.44209998846054077
"ASAP1","node_id_317",10.6358003616333,0.38519999384880066
"MAD1L1","node_id_318",7.659999847412109,0.44369998574256897
"MMP2","node_id_319",14.494199752807617,0.3529999852180481
"HTR3A","node_id_320",0.9742000102996826,0.36739999055862427
"CHD4","node_id_321",12.619999885559082,-0.38589999079704285
"TAOK2","node_id_322",10.037500381469727,0.4309999942779541
"B2M","node_id_323",15.349900245666504,0.3707999885082245
"EED","node_id_324",8.77239990234375,-0.4715000092983246
"SLFN11","node_id_325",10.074999809265137,-0.1582999974489212
"EFCAB6","node_id_326",5.419300079345703,-0.48590001463890076
"CD8B","node_id_327",4.722300052642822,0.36880001425743103
"GREM2","node_id_328",7.0706000328063965,0.38179999589920044
"ABCC3","node_id_329",9.228699684143066,0.2768000066280365
"PLD1","node_id_330",8.687199592590332,-0.1476999968290329
"NISCH","node_id_331",10.312700271606445,0.4237000048160553
