"label","id","mRNA","methy"
"SMURF2","node_id_211",8.682100296020508,0.3612000048160553
"PRKCA","node_id_212",10.309900283813477,0.013899999670684338
"PSMD4","node_id_218",10.515899658203125,-0.47450000047683716
"RASA3","node_id_225",9.189800262451172,-0.06729999929666519
"PTPRE","node_id_227",9.089799880981445,0.19760000705718994
"GPSM1","node_id_230",6.293000221252441,0.22709999978542328
"ARHGAP21","node_id_231",10.344900131225586,-0.29589998722076416
"GRM7","node_id_232",0.3601999878883362,0.22290000319480896
"KSR2","node_id_233",2.609800100326538,-0.2492000013589859
"SLCO4C1","node_id_234",11.82040023803711,-0.4223000109195709
"PCBP2","node_id_235",13.250399589538574,-0.08529999852180481
"COL7A1","node_id_236",1.7086000442504883,0.31439998745918274
"KIAA1549","node_id_238",9.644499778747559,-0.07259999960660934
"TRPC3","node_id_239",1.7086000442504883,-0.4239000082015991
"RYR2","node_id_240",3.5225000381469727,-0.15219999849796295
"RNF213","node_id_251",12.445500373840332,-0.4555000066757202
"RB1","node_id_256",11.227100372314453,-0.3368000090122223
"COL1A1","node_id_257",11.607799530029297,0.41190001368522644
"PAX6","node_id_258",6.313700199127197,-0.3806999921798706
"KCNS3","node_id_259",7.440400123596191,0.1624000072479248
"LEO1","node_id_261",9.005499839782715,-0.47909998893737793
"SQSTM1","node_id_265",13.064299583435059,0.2619999945163727
"CDK12","node_id_266",10.549300193786621,-0.47620001435279846
"ITGA2B","node_id_267",4.649799823760986,-0.4431999921798706
"PLXNB2","node_id_268",13.266300201416016,-0.24310000240802765
"KDM1A","node_id_269",9.632200241088867,0.18389999866485596
"FGR","node_id_275",8.169699668884277,-0.08540000021457672
"CHD3","node_id_280",10.351499557495117,-0.09049999713897705
"HEY2","node_id_281",7.819300174713135,-0.3596000075340271
"EPC2","node_id_283",9.537400245666504,-0.4787999987602234
"ATP6V1B1","node_id_287",5.986000061035156,0.05829999968409538
"HERC1","node_id_290",10.719300270080566,0.41679999232292175
"GLI2","node_id_292",5.83650016784668,0.08399999886751175
"ARAP3","node_id_296",9.644000053405762,0.19040000438690186
"GRM4","node_id_300",0.0,-0.05260000005364418
"RHOBTB2","node_id_303",9.248000144958496,0.2280000001192093
"ESR2","node_id_304",2.8557000160217285,0.4634999930858612
"MSH5","node_id_305",7.110099792480469,-0.4235000014305115
"ALK","node_id_307",1.7086000442504883,-0.478300005197525
"JARID2","node_id_309",8.623100280761719,0.33480000495910645
"GRM8","node_id_310",8.303899765014648,-0.01080000028014183
"FLNB","node_id_315",12.325900077819824,0.16459999978542328
"MMP2","node_id_319",8.152600288391113,0.3271999955177307
"CHD4","node_id_321",12.692500114440918,-0.2964000105857849
"TAOK2","node_id_322",11.052200317382812,0.25200000405311584
"EED","node_id_324",7.912199974060059,-0.47690001130104065
"CD8B","node_id_327",7.332799911499023,0.05310000106692314
"PLD1","node_id_330",10.181900024414062,0.18060000240802765
"XPO1","node_id_332",11.215100288391113,-0.46389999985694885
"TRAPPC9","node_id_336",9.831199645996094,0.13339999318122864
"CAMKK1","node_id_345",7.267899990081787,-0.13650000095367432
"SRRM2","node_id_349",13.508600234985352,0.4609000086784363
"FBXO21","node_id_351",10.018799781799316,-0.0333000011742115
"EP400","node_id_358",10.127400398254395,0.45260000228881836
"MEF2D","node_id_360",10.784099578857422,0.16359999775886536
"MIA3","node_id_363",11.308199882507324,-0.476500004529953
"ARHGEF2","node_id_364",10.012800216674805,-0.15279999375343323
"PRDM4","node_id_367",9.898799896240234,-0.43709999322891235
"IL4R","node_id_368",10.626099586486816,0.42829999327659607
"GABBR2","node_id_371",2.7379000186920166,-0.2903999984264374
"SND1","node_id_372",11.861300468444824,-0.4666000008583069
"WAC","node_id_373",11.619799613952637,0.02889999933540821
"PCNT","node_id_374",9.123900413513184,0.44780001044273376
"PPP1R15B","node_id_379",13.444299697875977,-0.4496000111103058
"ANAPC4","node_id_380",8.380800247192383,-0.35659998655319214
"CREM","node_id_383",9.050200462341309,0.2020999938249588
"KIF3C","node_id_384",8.012299537658691,-0.24420000612735748
"NID1","node_id_386",12.37339973449707,0.3095000088214874
"ADAMTS2","node_id_390",6.9079999923706055,0.17919999361038208
